;restaurant_id;name_x;cuisine;description_x;price_category;breakfast;lunch;sandwiches;city;post_code;street;number;number_addon;phone;url;latitude;longitude;delivery_charge;min_order;payment_cash;payment_card;waiting_time;delivery_time;delivery_postcode;rating_value;rating_count;data_source;host;name_y;description_y;price
0;0;Afandina Lebanese Cusine;['Burgers', 'Kebab'];Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights;-;1;1;1;London;SW9 9TN;Stockwell Rd;133;0;02077377577;afandinalebanesecusine.co.uk;51.467297;-0.117402;2;5;ENABLED;YES;10;30;SW9 9;0.0;3;foodhub;afandinalebanesecusine.co.uk;Falafel Special;Deep fried mixture of ground chickpeas and broad beans with spices served with hummus, salad, lebanese bread and tahina sauce.;10.50
1;0;Afandina Lebanese Cusine;['Burgers', 'Kebab'];Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights;-;1;1;1;London;SW9 9TN;Stockwell Rd;133;0;02077377577;afandinalebanesecusine.co.uk;51.467297;-0.117402;2;5;ENABLED;YES;10;30;SW9 9;0.0;3;foodhub;afandinalebanesecusine.co.uk;Fattoush;Lettuce, tomato, cucumber, mint, onion, radish, summac, toasted lebanese bread with lemon juice and olive oil dressing.;5.95
2;0;Afandina Lebanese Cusine;['Burgers', 'Kebab'];Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights;-;1;1;1;London;SW9 9TN;Stockwell Rd;133;0;02077377577;afandinalebanesecusine.co.uk;51.467297;-0.117402;2;5;ENABLED;YES;10;30;SW9 9;0.0;3;foodhub;afandinalebanesecusine.co.uk;Chicken Fillet Burger;Served with Chips;7.95
3;0;Afandina Lebanese Cusine;['Burgers', 'Kebab'];Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights;-;1;1;1;London;SW9 9TN;Stockwell Rd;133;0;02077377577;afandinalebanesecusine.co.uk;51.467297;-0.117402;2;5;ENABLED;YES;10;30;SW9 9;0.0;3;foodhub;afandinalebanesecusine.co.uk;Quarter Pounder Beef Burger with Cheese;Served with Chips;5.95
4;0;Afandina Lebanese Cusine;['Burgers', 'Kebab'];Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights;-;1;1;1;London;SW9 9TN;Stockwell Rd;133;0;02077377577;afandinalebanesecusine.co.uk;51.467297;-0.117402;2;5;ENABLED;YES;10;30;SW9 9;0.0;3;foodhub;afandinalebanesecusine.co.uk;Whole Chicken;Charcoal grilled baby chicken served with garlic or chilli sauce.;12.95
5;1;Bari Pizzeria;['Desserts', 'Pasta', 'Pizza'];Order the Tastiest Pizzas at amazing prices in Battersea Park. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Battersea Park;SW11 3JS;Battersea High Street;173;0;02036014454;bari-pizzeria.com;51.47048650312532;-0.171910711962604;2;5;ENABLED;YES;5;30;SW9 9;0.0;4;foodhub;bari-pizzeria.com;8pcs Chicken Strips;Strips of breaded Chicken Breast served with a choice of Dip;4.99
6;1;Bari Pizzeria;['Desserts', 'Pasta', 'Pizza'];Order the Tastiest Pizzas at amazing prices in Battersea Park. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Battersea Park;SW11 3JS;Battersea High Street;173;0;02036014454;bari-pizzeria.com;51.47048650312532;-0.171910711962604;2;5;ENABLED;YES;5;30;SW9 9;0.0;4;foodhub;bari-pizzeria.com;"13"" Quattro Formaggi";No description;11.95
7;1;Bari Pizzeria;['Desserts', 'Pasta', 'Pizza'];Order the Tastiest Pizzas at amazing prices in Battersea Park. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Battersea Park;SW11 3JS;Battersea High Street;173;0;02036014454;bari-pizzeria.com;51.47048650312532;-0.171910711962604;2;5;ENABLED;YES;5;30;SW9 9;0.0;4;foodhub;bari-pizzeria.com;All For One;"13"" Pizza, 6pcs Chicken Wings, Garlic Bread and Can of Soft Drink";14.99
8;1;Bari Pizzeria;['Desserts', 'Pasta', 'Pizza'];Order the Tastiest Pizzas at amazing prices in Battersea Park. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Battersea Park;SW11 3JS;Battersea High Street;173;0;02036014454;bari-pizzeria.com;51.47048650312532;-0.171910711962604;2;5;ENABLED;YES;5;30;SW9 9;0.0;4;foodhub;bari-pizzeria.com;Chocolate Fudge Cake;No description;3.99
9;1;Bari Pizzeria;['Desserts', 'Pasta', 'Pizza'];Order the Tastiest Pizzas at amazing prices in Battersea Park. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Battersea Park;SW11 3JS;Battersea High Street;173;0;02036014454;bari-pizzeria.com;51.47048650312532;-0.171910711962604;2;5;ENABLED;YES;5;30;SW9 9;0.0;4;foodhub;bari-pizzeria.com;Calamari Fritti;Deep fried Squid served with Lemon and a choice of Dip;4.99
11;2;Bebs Kitchen;['Halal', 'Indian'];Authentic Indian food served fresh and hot in Bebs Kitchen. Try from Bebs Kitchen, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Brixton;SW2 5RJ;Acre Lane;126;0;02036598915;bebskitchen.co.uk;51.4597176557928;-0.12429074378266236;2;5;ENABLED;YES;15;45;SW9 9;4.9;3;foodhub;bebskitchen.co.uk;Pilau Rice;Saffron flavoured;3.50
12;2;Bebs Kitchen;['Halal', 'Indian'];Authentic Indian food served fresh and hot in Bebs Kitchen. Try from Bebs Kitchen, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Brixton;SW2 5RJ;Acre Lane;126;0;02036598915;bebskitchen.co.uk;51.4597176557928;-0.12429074378266236;2;5;ENABLED;YES;15;45;SW9 9;4.9;3;foodhub;bebskitchen.co.uk;Tarka Dal;A classic blend of four lentils tempered with garlic;5.95
13;2;Bebs Kitchen;['Halal', 'Indian'];Authentic Indian food served fresh and hot in Bebs Kitchen. Try from Bebs Kitchen, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Brixton;SW2 5RJ;Acre Lane;126;0;02036598915;bebskitchen.co.uk;51.4597176557928;-0.12429074378266236;2;5;ENABLED;YES;15;45;SW9 9;4.9;3;foodhub;bebskitchen.co.uk;Chicken Tikka Masala;Chicken cooked with ground almonds, herbs, cream, and special Masala sauce;8.95
14;2;Bebs Kitchen;['Halal', 'Indian'];Authentic Indian food served fresh and hot in Bebs Kitchen. Try from Bebs Kitchen, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Brixton;SW2 5RJ;Acre Lane;126;0;02036598915;bebskitchen.co.uk;51.4597176557928;-0.12429074378266236;2;5;ENABLED;YES;15;45;SW9 9;4.9;3;foodhub;bebskitchen.co.uk;Saag Aloo;A delightful combination of fresh spinach and potatoes with green herbs;5.95
15;2;Bebs Kitchen;['Halal', 'Indian'];Authentic Indian food served fresh and hot in Bebs Kitchen. Try from Bebs Kitchen, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Brixton;SW2 5RJ;Acre Lane;126;0;02036598915;bebskitchen.co.uk;51.4597176557928;-0.12429074378266236;2;5;ENABLED;YES;15;45;SW9 9;4.9;3;foodhub;bebskitchen.co.uk;Chicken Korma;No description;7.95
16;3;Big Ben Pizza;['Burgers', 'Desserts', 'Pizza'];Order the Tastiest Pizzas at amazing prices in a. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Lambeth;SE11 6EE;Lambeth Walk;145;0;02070917288;bigbenpizza.co.uk;51.49259582441256;-0.11673968590300898;2;5;ENABLED;YES;10;30;SW9 9;4.4;3;foodhub;bigbenpizza.co.uk;8pcs Hot Chicken Wings;No description;4.50
17;3;Big Ben Pizza;['Burgers', 'Desserts', 'Pizza'];Order the Tastiest Pizzas at amazing prices in a. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Lambeth;SE11 6EE;Lambeth Walk;145;0;02070917288;bigbenpizza.co.uk;51.49259582441256;-0.11673968590300898;2;5;ENABLED;YES;10;30;SW9 9;4.4;3;foodhub;bigbenpizza.co.uk;8pcs Chicken Wings;No description;3.99
18;3;Big Ben Pizza;['Burgers', 'Desserts', 'Pizza'];Order the Tastiest Pizzas at amazing prices in a. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Lambeth;SE11 6EE;Lambeth Walk;145;0;02070917288;bigbenpizza.co.uk;51.49259582441256;-0.11673968590300898;2;5;ENABLED;YES;10;30;SW9 9;4.4;3;foodhub;bigbenpizza.co.uk;"12"" Margherita";No description;8.50
19;3;Big Ben Pizza;['Burgers', 'Desserts', 'Pizza'];Order the Tastiest Pizzas at amazing prices in a. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Lambeth;SE11 6EE;Lambeth Walk;145;0;02070917288;bigbenpizza.co.uk;51.49259582441256;-0.11673968590300898;2;5;ENABLED;YES;10;30;SW9 9;4.4;3;foodhub;bigbenpizza.co.uk;500ml Haagen Dazs Cookies And Cream;No description;5.99
20;3;Big Ben Pizza;['Burgers', 'Desserts', 'Pizza'];Order the Tastiest Pizzas at amazing prices in a. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;Lambeth;SE11 6EE;Lambeth Walk;145;0;02070917288;bigbenpizza.co.uk;51.49259582441256;-0.11673968590300898;2;5;ENABLED;YES;10;30;SW9 9;4.4;3;foodhub;bigbenpizza.co.uk;Burger Offer;New. 2x chicken burgers, 2x cheese burgers, 2x large fries and bottle of soft drink.;14.99
21;4;Bombay Inn;['Desserts', 'Indian', 'Indian Curries'];Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.;-;1;1;1;London;SW2 1HF;BRIXTON HILL;252;0;02086717372;bombayinnonline.com;51.44765821992692;-0.1244054999999662;2;5;ENABLED;YES;10;40;SW9 9;4.4;5;foodhub;bombayinnonline.com;Non Vegetarian Thali;Tandoori chicken, chicken tikka, lamb rogan josh, chicken korma, raita, bombay aloo, pilau rice and naan;15.95
22;4;Bombay Inn;['Desserts', 'Indian', 'Indian Curries'];Bombay Inn in Brixton offers a variety of Great Tasting Biryani, Tandoori, Indian Curry, Balti Dishes, Madras Dishes,Vindaloo, Bhuna, Methi Dishes, Korma Dishes, Desserts & Many More Delicious Delights Online Now.;-;1;1;1;London;SW2 1HF;BRIXTON HILL;252;0;02086717372;bombayinnonline.com;51.44765821992692;-0.1244054999999662;2;5;ENABLED;YES;10;40;SW9 9;4.4;5;foodhub;bombayinnonline.com;Set Meal A For One Person;Chicken tikka, chicken madras, saag aloo, pilau rice and poppadom;14.95
23;5;Bombay Kitchen;['Indian', 'Indian Curries'];Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.;-;1;1;1;London;SW2 4UN;New Park Road; 48;0;02086781760;bombaykitchenonline.com;51.448432219927426;-0.1256253999999899;2;5;ENABLED;YES;10;35;SW9 9;4.7;2;foodhub;bombaykitchenonline.com;Pilau Rice;No description;3.50
24;5;Bombay Kitchen;['Indian', 'Indian Curries'];Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.;-;1;1;1;London;SW2 4UN;New Park Road; 48;0;02086781760;bombaykitchenonline.com;51.448432219927426;-0.1256253999999899;2;5;ENABLED;YES;10;35;SW9 9;4.7;2;foodhub;bombaykitchenonline.com;Peshwari Nan;Sweet,nuts;3.50
25;5;Bombay Kitchen;['Indian', 'Indian Curries'];Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.;-;1;1;1;London;SW2 4UN;New Park Road; 48;0;02086781760;bombaykitchenonline.com;51.448432219927426;-0.1256253999999899;2;5;ENABLED;YES;10;35;SW9 9;4.7;2;foodhub;bombaykitchenonline.com;Onion Bhajee;No description;3.50
26;5;Bombay Kitchen;['Indian', 'Indian Curries'];Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.;-;1;1;1;London;SW2 4UN;New Park Road; 48;0;02086781760;bombaykitchenonline.com;51.448432219927426;-0.1256253999999899;2;5;ENABLED;YES;10;35;SW9 9;4.7;2;foodhub;bombaykitchenonline.com;Garlic Nan;No description;3.95
27;5;Bombay Kitchen;['Indian', 'Indian Curries'];Bombay Kitchen in London offers a variety of Tandoori dishes, Curry Dishes, Biryani Dishes, Bhuna Dishes and much more delicious delights available online now.;-;1;1;1;London;SW2 4UN;New Park Road; 48;0;02086781760;bombaykitchenonline.com;51.448432219927426;-0.1256253999999899;2;5;ENABLED;YES;10;35;SW9 9;4.7;2;foodhub;bombaykitchenonline.com;Chicken Tikka Massala;No description;8.95
28;6;Cardamom Club;['Curry', 'Indian Curries', 'Kebab'];Authentic Indian food served fresh and hot in Cardamom Club. Try from Cardamom Club, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Trinity Road;SW17 7RE;Trinity Road;18;0;02086720088;cardamomclubtakeaway.com;51.43605937915588;-0.16024027454556888;2;5;ENABLED;YES;30;60;SW9 9;0.0;4;foodhub;cardamomclubtakeaway.com;Garlic Naan;Baked with fresh garlic;3.10
29;6;Cardamom Club;['Curry', 'Indian Curries', 'Kebab'];Authentic Indian food served fresh and hot in Cardamom Club. Try from Cardamom Club, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Trinity Road;SW17 7RE;Trinity Road;18;0;02086720088;cardamomclubtakeaway.com;51.43605937915588;-0.16024027454556888;2;5;ENABLED;YES;30;60;SW9 9;0.0;4;foodhub;cardamomclubtakeaway.com;Pilau Rice For 2 People;No description;4.75
30;6;Cardamom Club;['Curry', 'Indian Curries', 'Kebab'];Authentic Indian food served fresh and hot in Cardamom Club. Try from Cardamom Club, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Trinity Road;SW17 7RE;Trinity Road;18;0;02086720088;cardamomclubtakeaway.com;51.43605937915588;-0.16024027454556888;2;5;ENABLED;YES;30;60;SW9 9;0.0;4;foodhub;cardamomclubtakeaway.com;Chicken Tikka Masala;Contains cashew nuts, Tender chicken breast cooked in the tandoor served in a rich masala sauce;8.95
31;6;Cardamom Club;['Curry', 'Indian Curries', 'Kebab'];Authentic Indian food served fresh and hot in Cardamom Club. Try from Cardamom Club, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Trinity Road;SW17 7RE;Trinity Road;18;0;02086720088;cardamomclubtakeaway.com;51.43605937915588;-0.16024027454556888;2;5;ENABLED;YES;30;60;SW9 9;0.0;4;foodhub;cardamomclubtakeaway.com;Peshwari Naan;Naan bread baked with sultana, coconut and nuts, Sweet and fragrant;3.95
32;6;Cardamom Club;['Curry', 'Indian Curries', 'Kebab'];Authentic Indian food served fresh and hot in Cardamom Club. Try from Cardamom Club, feel the real taste of Indian food cooked in authentic Indian spices.;-;1;1;1;Trinity Road;SW17 7RE;Trinity Road;18;0;02086720088;cardamomclubtakeaway.com;51.43605937915588;-0.16024027454556888;2;5;ENABLED;YES;30;60;SW9 9;0.0;4;foodhub;cardamomclubtakeaway.com;Onion Bhaji;Chickpea flour and finely onion combined with garam masala and a modicum of chilli, <br/>Deep fried;4.25
33;7;Crown Point Pizza And Grill;['Alcohol', 'Burgers', 'Peri Peri'];Order the Tastiest Pizzas at amazing prices in West norwood. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;London;SE27 0QP;Knights Hill;266;0;02031050222;crownpointpizzaandgrill.co.uk;51.42307601990937;-0.10577654999997321;2;5;ENABLED;YES;10;30;SW9 9;4.8;5;foodhub;crownpointpizzaandgrill.co.uk;8pcs Chicken Wings Meal;Served with your choice of one side and can of soft Drink;5.99
34;7;Crown Point Pizza And Grill;['Alcohol', 'Burgers', 'Peri Peri'];Order the Tastiest Pizzas at amazing prices in West norwood. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;London;SE27 0QP;Knights Hill;266;0;02031050222;crownpointpizzaandgrill.co.uk;51.42307601990937;-0.10577654999997321;2;5;ENABLED;YES;10;30;SW9 9;4.8;5;foodhub;crownpointpizzaandgrill.co.uk;Quarter Chicken Meal;Served with your choice of one side and can of soft drink;4.99
35;7;Crown Point Pizza And Grill;['Alcohol', 'Burgers', 'Peri Peri'];Order the Tastiest Pizzas at amazing prices in West norwood. Order online or take it away, amazing food served fresh and hot. Get sides, dips, drinks and desserts.;-;1;1;1;London;SE27 0QP;Knights Hill;266;0;02031050222;crownpointpizzaandgrill.co.uk;51.42307601990937;-0.10577654999997321;2;5;ENABLED;YES;10;30;SW9 9;4.8;5;foodhub;crownpointpizzaandgrill.co.uk;Small Pizza Meal;7inch Pizza with 2 toppings,  Chips and Can of drink;4.99
